PUMA10,PUMA00,FREQUENCY,SUM_H7V001,PERCPOP10
G06001902,G0603401,56,2410.00000000000,0.01387833138
G06001902,G0603402,390,20515.00000000000,0.11813857600
G06001903,G0603301,953,84276.00000000000,0.82720848057
G06001903,G0603402,312,17604.00000000000,0.17279151944
G06001904,G0603301,2374,149345.00000000000,0.87777712472
G06001904,G0603401,343,15356.00000000000,0.09025508405
G06001904,G0603402,143,5439.00000000000,0.03196779123
G06001905,G0603301,1150,93459.00000000000,0.86394520092
G06001905,G0603402,394,14718.00000000000,0.13605479908
G06001906,G0603301,9,812.00000000000,0.00791099160
G06001906,G0603302,4,0.00000000000,0.00000000000
G06001906,G0603402,1365,101830.00000000000,0.99208900840
G06001907,G0603402,3658,129238.00000000000,1.00000000000
G06002300,G0600200,9597,134623.00000000000,1.00000000000
G06002500,G0608200,8875,174528.00000000000,1.00000000000
G06002901,G0603800,158,10363.00000000000,0.05455301587
G06002901,G0603901,9471,154390.00000000000,0.81274149567
G06002901,G0603903,935,25209.00000000000,0.13270548847
G06002901,G0606101,3,0.00000000000,0.00000000000
G06002902,G0603800,1874,173165.00000000000,0.86422618156
G06002902,G0603903,576,27205.00000000000,0.13577381844
G06002903,G0603800,1882,88039.00000000000,0.56746635384
G06002903,G0603903,1150,67105.00000000000,0.43253364616
G06002904,G0603800,559,57588.00000000000,0.53396383867
G06002904,G0603902,277,20585.00000000000,0.19086694483
G06002904,G0603903,547,29677.00000000000,0.27516921650
G06002905,G0603800,40,143.00000000000,0.00076755857
G06002905,G0603902,16592,152249.00000000000,0.81720297362
G06002905,G0603903,1211,33896.00000000000,0.18193821959
G06002905,G0606101,6,17.00000000000,0.00009124822
G06003100,G0603600,6188,152982.00000000000,1.00000000000
G06003300,G0600400,13330,152506.00000000000,1.00000000000
G06003300,G0600500,1,0.00000000000,0.00000000000
G06003701,G0603902,19,0.00000000000,0.00000000000
G06003701,G0604406,3,2.00000000000,0.00001430605
G06003701,G0604500,104,3884.00000000000,0.02778234777
G06003701,G0604600,180,2178.00000000000,0.01557928770
G06003701,G0604700,151,12164.00000000000,0.08700939192
G06003701,G0605401,4,0.00000000000,0.00000000000
G06003701,G0606101,7259,121573.00000000000,0.86961466656
G06003701,G0606105,1,0.00000000000,0.00000000000
G06003701,G0606106,1,0.00000000000,0.00000000000
G06003701,G0606601,9,0.00000000000,0.00000000000
G06003702,G0604700,1576,152581.00000000000,0.81116096586
G06003702,G0606101,462,35521.00000000000,0.18883903414
G06003703,G0604500,2128,150825.00000000000,0.92173291288
G06003703,G0606101,671,12807.00000000000,0.07826708712
G06003704,G0604500,25,1760.00000000000,0.01071419875
G06003704,G0604600,1458,149872.00000000000,0.91236272433
G06003704,G0606101,587,12636.00000000000,0.07692307692
G06003705,G0605401,1432,164102.00000000000,0.98304698919
G06003705,G0605402,11,1226.00000000000,0.00734430786
G06003705,G0606126,61,1604.00000000000,0.00960870294
G06003706,G0605401,5,69.00000000000,0.00050581319
G06003706,G0605402,1180,134946.00000000000,0.98923864120
G06003706,G0605403,1,0.00000000000,0.00000000000
G06003706,G0605405,25,1399.00000000000,0.01025554562
G06003706,G0606101,18,0.00000000000,0.00000000000
G06003706,G0606126,1,0.00000000000,0.00000000000
G06003707,G0605403,856,125021.00000000000,0.82813462545
G06003707,G0605404,13,23.00000000000,0.00015235118
G06003707,G0605405,16,1100.00000000000,0.00728636060
G06003707,G0606101,51,1178.00000000000,0.00780302980
G06003707,G0606126,310,23645.00000000000,0.15662363298
G06003708,G0605403,6,466.00000000000,0.00340561122
G06003708,G0605404,1199,136363.00000000000,0.99656515607
G06003708,G0606101,5,4.00000000000,0.00002923271
G06003709,G0604900,16,952.00000000000,0.00863868169
G06003709,G0605000,120,4822.00000000000,0.04375601169
G06003709,G0606101,7,4.00000000000,0.00003629698
G06003709,G0606102,1520,104424.00000000000,0.94756900964
G06003710,G0605100,3,5.00000000000,0.00002872952
G06003710,G0606101,3,0.00000000000,0.00000000000
G06003710,G0606102,358,22843.00000000000,0.13125369893
G06003710,G0606105,1917,151189.00000000000,0.86871757155
G06003710,G0606106,1,0.00000000000,0.00000000000
G06003711,G0604402,2,0.00000000000,0.00000000000
G06003711,G0604406,1,0.00000000000,0.00000000000
G06003711,G0605200,34,1488.00000000000,0.00907643603
G06003711,G0606101,31,11.00000000000,0.00006709731
G06003711,G0606106,2875,162436.00000000000,0.99081986812
G06003711,G0606107,1,6.00000000000,0.00003659853
G06003712,G0605200,1319,146689.00000000000,0.99859763777
G06003712,G0606106,8,206.00000000000,0.00140236223
G06003712,G0606107,6,0.00000000000,0.00000000000
G06003712,G0606108,1,0.00000000000,0.00000000000
G06003713,G0605200,27,536.00000000000,0.00488525128
G06003713,G0605800,216,13588.00000000000,0.12384476567
G06003713,G0606105,1,81.00000000000,0.00073825626
G06003713,G0606106,11,0.00000000000,0.00000000000
G06003713,G0606107,1265,95513.00000000000,0.87053172679
G06003713,G0606108,3,0.00000000000,0.00000000000
G06003714,G0604401,1,0.00000000000,0.00000000000
G06003714,G0605200,11,538.00000000000,0.00492999047
G06003714,G0606107,8,0.00000000000,0.00000000000
G06003714,G0606108,1234,108590.00000000000,0.99507000953
G06003714,G0606109,5,0.00000000000,0.00000000000
G06003714,G0606110,1,0.00000000000,0.00000000000
G06003715,G0605800,951,88935.00000000000,0.74044009291
G06003715,G0606105,58,5205.00000000000,0.04333491520
G06003715,G0606107,131,21815.00000000000,0.18162366478
G06003715,G0606108,7,0.00000000000,0.00000000000
G06003715,G0606109,29,4156.00000000000,0.03460132711
G06003716,G0605100,1,0.00000000000,0.00000000000
G06003716,G0605800,39,3555.00000000000,0.03221538545
G06003716,G0606105,89,4901.00000000000,0.04441282816
G06003716,G0606109,1081,101895.00000000000,0.92337178639
G06003716,G0606110,2,0.00000000000,0.00000000000
G06003717,G0605000,14,30.00000000000,0.00015864790
G06003717,G0605100,28,1170.00000000000,0.00618726798
G06003717,G0606102,177,16158.00000000000,0.08544775725
G06003717,G0606103,4,0.00000000000,0.00000000000
G06003717,G0606104,1686,171740.00000000000,0.90820632688
G06003717,G0606112,8,0.00000000000,0.00000000000
G06003718,G0604900,1,0.00000000000,0.00000000000
G06003718,G0605000,1589,132346.00000000000,0.97936862670
G06003718,G0605416,7,9.00000000000,0.00006660056
G06003718,G0606102,11,738.00000000000,0.00546124587
G06003718,G0606103,4,5.00000000000,0.00003700031
G06003718,G0606104,39,2036.00000000000,0.01506652656
G06003719,G0604800,2,0.00000000000,0.00000000000
G06003719,G0604900,1807,190790.00000000000,1.00000000000
G06003719,G0605000,1,0.00000000000,0.00000000000
G06003719,G0605413,1,0.00000000000,0.00000000000
G06003719,G0605416,1,0.00000000000,0.00000000000
G06003719,G0606102,5,0.00000000000,0.00000000000
G06003720,G0604800,1651,103325.00000000000,0.87457572603
G06003720,G0604900,9,15.00000000000,0.00012696478
G06003720,G0605410,17,505.00000000000,0.00427448093
G06003720,G0605413,144,3451.00000000000,0.02921036371
G06003720,G0605415,8,0.00000000000,0.00000000000
G06003720,G0605416,112,10847.00000000000,0.09181246456
G06003721,G0604800,2,0.00000000000,0.00000000000
G06003721,G0605406,944,133453.00000000000,1.00000000000
G06003721,G0605407,4,0.00000000000,0.00000000000
G06003721,G0605410,4,0.00000000000,0.00000000000
G06003722,G0605406,3,0.00000000000,0.00000000000
G06003722,G0605407,910,159037.00000000000,0.99828635993
G06003722,G0605408,11,273.00000000000,0.00171364007
G06003722,G0605410,4,0.00000000000,0.00000000000
G06003723,G0605402,35,2483.00000000000,0.01757838772
G06003723,G0605403,43,2366.00000000000,0.01675008672
G06003723,G0605405,584,132359.00000000000,0.93703496563
G06003723,G0605408,8,4045.00000000000,0.02863655993
G06003724,G0605408,1319,167320.00000000000,1.00000000000
G06003724,G0605410,2,0.00000000000,0.00000000000
G06003725,G0605401,125,10611.00000000000,0.06298488149
G06003725,G0605408,1,27.00000000000,0.00016026687
G06003725,G0605409,1254,157049.00000000000,0.93221304810
G06003725,G0605410,3,0.00000000000,0.00000000000
G06003725,G0606126,7,782.00000000000,0.00464180354
G06003726,G0605401,2,6.00000000000,0.00005911155
G06003726,G0605409,38,2370.00000000000,0.02334906357
G06003726,G0605410,144,13492.00000000000,0.13292217964
G06003726,G0606126,1830,85635.00000000000,0.84366964523
G06003727,G0605407,16,1285.00000000000,0.00849485681
G06003727,G0605410,1546,149964.00000000000,0.99137953830
G06003727,G0605411,2,0.00000000000,0.00000000000
G06003727,G0605413,1,0.00000000000,0.00000000000
G06003727,G0606125,16,19.00000000000,0.00012560489
G06003728,G0605411,43,3711.00000000000,0.03620099306
G06003728,G0605420,165,9064.00000000000,0.08841977934
G06003728,G0606125,1467,89736.00000000000,0.87537922760
G06003729,G0605411,1572,195536.00000000000,0.99884043461
G06003729,G0605412,8,227.00000000000,0.00115956539
G06003729,G0606125,6,0.00000000000,0.00000000000
G06003730,G0605411,3,147.00000000000,0.00089429114
G06003730,G0605412,1339,164226.00000000000,0.99908745802
G06003730,G0606125,2,3.00000000000,0.00001825084
G06003731,G0605410,7,482.00000000000,0.00444653548
G06003731,G0605411,3,32.00000000000,0.00029520568
G06003731,G0605412,1,0.00000000000,0.00000000000
G06003731,G0605413,312,39401.00000000000,0.36348121293
G06003731,G0606125,1067,68484.00000000000,0.63177704591
G06003732,G0605413,1006,176714.00000000000,1.00000000000
G06003733,G0605414,319,112679.00000000000,1.00000000000
G06003734,G0605414,1,0.00000000000,0.00000000000
G06003734,G0605415,1266,189232.00000000000,0.96756248210
G06003734,G0605416,73,6260.00000000000,0.03200801734
G06003734,G0605417,16,79.00000000000,0.00040393504
G06003734,G0605418,7,5.00000000000,0.00002556551
G06003735,G0605000,2,0.00000000000,0.00000000000
G06003735,G0605416,1623,193764.00000000000,1.00000000000
G06003735,G0606103,1,0.00000000000,0.00000000000
G06003736,G0605416,77,6032.00000000000,0.05257240472
G06003736,G0606103,1215,108705.00000000000,0.94742759528
G06003736,G0606104,1,0.00000000000,0.00000000000
G06003737,G0605100,3,87.00000000000,0.00067731689
G06003737,G0605300,18,412.00000000000,0.00320752367
G06003737,G0606103,3,31.00000000000,0.00024134280
G06003737,G0606104,61,5162.00000000000,0.04018746886
G06003737,G0606109,3,0.00000000000,0.00000000000
